utc_timestamp,de_solar_generation_actual_mw,de_wind_offshore_generation_actual_mw,de_wind_onshore_generation_actual_mw,de_total_wind_generation_actual_mw,de_total_renewable_generation_actual_mw
2019-01-01 00:00:00,304.75,7731.58,64.0,7795.58,8100.33
2019-01-01 01:00:00,291.61,7563.41,64.0,7627.41,7919.0199999999995
2019-01-01 02:00:00,343.37,7379.04,64.0,7443.04,7786.41
2019-01-01 03:00:00,391.99,6995.7,64.0,7059.7,7451.69
2019-01-01 04:00:00,371.06,7301.97,64.0,7365.97,7737.030000000001
2019-01-01 05:00:00,411.74,7254.38,64.0,7318.38,7730.12
2019-01-01 06:00:00,442.81,7512.69,64.0,7576.69,8019.5
2019-01-01 07:00:00,364.43,7212.07,64.0,7276.07,7640.5
2019-01-01 08:00:00,397.54,7394.47,64.0,7458.47,7856.01
2019-01-01 09:00:00,422.05,7791.41,64.0,7855.41,8277.46
2019-01-01 10:00:00,451.23,7603.4,64.0,7667.4,8118.629999999999
2019-01-01 11:00:00,504.14,6985.01,64.0,7049.01,7553.150000000001
2019-01-01 12:00:00,488.71,7073.71,64.0,7137.71,7626.42
2019-01-01 13:00:00,418.71,6654.22,64.0,6718.22,7136.93
2019-01-01 14:00:00,429.94,6812.02,64.0,6876.02,7305.96
2019-01-01 15:00:00,457.73,7442.76,64.0,7506.76,7964.49
2019-01-01 16:00:00,571.81,7611.08,64.0,7675.08,8246.89
2019-01-01 17:00:00,635.0,7675.97,64.0,7739.97,8374.970000000001
2019-01-01 18:00:00,549.03,7616.78,64.0,7680.78,8229.81
2019-01-01 19:00:00,644.3,7421.37,64.0,7485.37,8129.67
2019-01-01 20:00:00,700.31,8074.51,64.0,8138.51,8838.82
2019-01-01 21:00:00,614.92,7667.61,64.0,7731.61,8346.529999999999
2019-01-01 22:00:00,594.57,7404.29,64.0,7468.29,8062.86
2019-01-01 23:00:00,518.24,7234.18,64.0,7298.18,7816.42
2019-01-02 00:00:00,550.46,6877.01,64.0,6941.01,7491.47
2019-01-02 01:00:00,510.35,6886.5,64.0,6950.5,7460.85
2019-01-02 02:00:00,513.38,6899.51,64.0,6963.51,7476.89
2019-01-02 03:00:00,470.89,7006.66,64.0,7070.66,7541.55
2019-01-02 04:00:00,466.82,7010.43,64.0,7074.43,7541.25
2019-01-02 05:00:00,430.9,6832.9,64.0,6896.9,7327.799999999999
2019-01-02 06:00:00,484.54,7039.08,64.0,7103.08,7587.62
2019-01-02 07:00:00,523.66,7232.9,64.0,7296.9,7820.5599999999995
2019-01-02 08:00:00,471.8,7456.28,64.0,7520.28,7992.08
2019-01-02 09:00:00,473.21,7557.65,64.0,7621.65,8094.86
2019-01-02 10:00:00,436.83,7601.67,64.0,7665.67,8102.5
2019-01-02 11:00:00,431.9,7599.22,64.0,7663.22,8095.12
2019-01-02 12:00:00,374.99,7402.12,64.0,7466.12,7841.11
2019-01-02 13:00:00,372.22,7888.62,64.0,7952.62,8324.84
2019-01-02 14:00:00,312.08,7437.51,64.0,7501.51,7813.59
2019-01-02 15:00:00,287.96,7968.22,64.0,8032.22,8320.18
2019-01-02 16:00:00,282.19,8225.35,64.0,8289.35,8571.54
2019-01-02 17:00:00,273.39,8811.03,64.0,8875.03,9148.42
2019-01-02 18:00:00,287.03,8009.54,64.0,8073.54,8360.57
2019-01-02 19:00:00,249.04,7857.92,64.0,7921.92,8170.96
2019-01-02 20:00:00,224.29,8383.94,64.0,8447.94,8672.230000000001
2019-01-02 21:00:00,185.35,7962.92,64.0,8026.92,8212.27
2019-01-02 22:00:00,148.15,7690.98,64.0,7754.98,7903.129999999999
2019-01-02 23:00:00,148.33,7668.45,64.0,7732.45,7880.78
2019-01-03 00:00:00,147.68,7743.07,64.0,7807.07,7954.75
